"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
35,"11th,","Separated,","?,","Female,","60,","United-States,","<=50K"
40,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
49,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
29,"Bachelors,","Never-married,","Prof-specialty,","Female,","50,","United-States,","<=50K"
43,"Bachelors,","Divorced,","Prof-specialty,","Female,","40,","United-States,","<=50K"
39,"Assoc-acdm,","Never-married,","Transport-moving,","Male,","60,","United-States,","<=50K"
35,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","60,","United-States,","<=50K"
52,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
25,"Some-college,","Never-married,","Handlers-cleaners,","Male,","40,","Outlying-US(Guam-USVI-etc),","<=50K"
20,"HS-grad,","Never-married,","Machine-op-inspct,","Female,","30,","United-States,","<=50K"
46,"Some-college,","Divorced,","Other-service,","Female,","10,","?,","<=50K"
24,"Bachelors,","Never-married,","Exec-managerial,","Male,","40,","United-States,","<=50K"
29,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","30,","India,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Male,","40,","United-States,","<=50K"
37,"Bachelors,","Divorced,","Exec-managerial,","Female,","50,","United-States,","<=50K"
43,"HS-grad,","Never-married,","Adm-clerical,","Male,","40,","United-States,","<=50K"
19,"HS-grad,","Never-married,","Adm-clerical,","Female,","26,","United-States,","<=50K"
47,"HS-grad,","Married-civ-spouse,","Sales,","Male,","45,","United-States,","<=50K"
61,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","45,","United-States,",">50K"
21,"Assoc-acdm,","Never-married,","?,","Male,","55,","United-States,","<=50K"
35,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","60,","United-States,","<=50K"
60,"10th,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
27,"Some-college,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
57,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","35,","India,","<=50K"
56,"1st-4th,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
27,"HS-grad,","Never-married,","Exec-managerial,","Female,","40,","United-States,","<=50K"
47,"7th-8th,","Married-civ-spouse,","Machine-op-inspct,","Female,","35,","United-States,","<=50K"
19,"HS-grad,","Never-married,","Other-service,","Male,","30,","United-States,","<=50K"
28,"12th,","Divorced,","Other-service,","Female,","30,","United-States,","<=50K"
43,"10th,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
63,"Some-college,","Divorced,","Exec-managerial,","Female,","35,","United-States,","<=50K"
22,"Some-college,","Never-married,","?,","Male,","40,","United-States,","<=50K"
25,"HS-grad,","Divorced,","Handlers-cleaners,","Female,","40,","Philippines,","<=50K"
35,"HS-grad,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,",">50K"
20,"HS-grad,","Never-married,","Handlers-cleaners,","Female,","40,","United-States,","<=50K"
48,"10th,","Married-civ-spouse,","Sales,","Male,","70,","United-States,","<=50K"
30,"Bachelors,","Never-married,","Prof-specialty,","Female,","40,","Germany,","<=50K"
31,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
20,"HS-grad,","Never-married,","Sales,","Female,","24,","Philippines,","<=50K"
57,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,",">50K"
41,"Assoc-voc,","Married-civ-spouse,","Adm-clerical,","Female,","44,","United-States,",">50K"
33,"HS-grad,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
27,"Assoc-voc,","Married-civ-spouse,","Farming-fishing,","Male,","40,","United-States,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Farming-fishing,","Male,","60,","United-States,",">50K"
22,"10th,","Never-married,","Craft-repair,","Male,","30,","United-States,","<=50K"
50,"Assoc-acdm,","Married-civ-spouse,","Exec-managerial,","Female,","40,","United-States,",">50K"
40,"Bachelors,","Married-civ-spouse,","Prof-specialty,","Male,","45,","United-States,",">50K"
37,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","51,","United-States,","<=50K"
40,"Assoc-acdm,","Divorced,","?,","Male,","40,","United-States,","<=50K"
53,"Masters,","Married-civ-spouse,","Exec-managerial,","Male,","55,","United-States,",">50K"
38,"Some-college,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,",">50K"
25,"HS-grad,","Never-married,","Prof-specialty,","Male,","40,","United-States,","<=50K"
51,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
22,"12th,","Never-married,","?,","Male,","40,","United-States,","<=50K"
18,"Some-college,","Never-married,","Other-service,","Male,","16,","United-States,","<=50K"
41,"11th,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,",">50K"
33,"HS-grad,","Never-married,","Adm-clerical,","Female,","40,","United-States,","<=50K"
33,"Bachelors,","Never-married,","Sales,","Female,","40,","United-States,","<=50K"
67,"Some-college,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,","<=50K"
47,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","50,","United-States,",">50K"
24,"Some-college,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
32,"7th-8th,","Married-civ-spouse,","Other-service,","Male,","40,","United-States,","<=50K"
29,"HS-grad,","Never-married,","Other-service,","Female,","40,","Mexico,","<=50K"
25,"Assoc-voc,","Never-married,","Sales,","Male,","45,","United-States,","<=50K"
33,"Some-college,","Divorced,","Adm-clerical,","Female,","40,","United-States,","<=50K"
55,"Bachelors,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
31,"Some-college,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
32,"Masters,","Married-civ-spouse,","Prof-specialty,","Male,","50,","United-States,","<=50K"
18,"HS-grad,","Never-married,","Protective-serv,","Male,","3,","United-States,","<=50K"
36,"HS-grad,","Divorced,","Adm-clerical,","Female,","50,","United-States,","<=50K"
58,"HS-grad,","Widowed,","Adm-clerical,","Female,","27,","United-States,","<=50K"
